DATE,CBONDRET,TBONDRET,CPIUS
200004,-1.15,-1.35,0.06
200005,-1.61,-0.09,0.12
200006,3.26,2.06,0.52
200007,1.79,2.03,0.23
200008,1.35,2.08,0
200009,0.46,-2.46,0.52
200010,0.45,1.84,0.17
200011,2.63,2.91,0.06
200012,2.7,2.65,-0.06
200101,3.59,-0.19,0.63
200102,1.27,1.42,0.4
200103,-0.29,-1.48,0.23
200104,-1.28,-4.31,0.4
200105,1.32,0.88,0.45
200106,0.55,0.42,0.17
200107,3.61,3.86,-0.28
200108,1.57,2.7,0
200109,-1.52,-0.27,0.45
200110,4.37,8.89,-0.34
200111,-1.88,-5.54,-0.17
200112,-0.9,-2.28,-0.39
