date        NoDur  Durbl  Manuf  Enrgy  HiTec  Telcm  Shops  Hlth   Utils  Other
193902   2.53   7.07   2.98  -1.17   2.80   3.53   5.52   3.73   8.75   4.74
193903  -5.81 -17.60 -15.36  -8.31 -15.04  -2.20  -9.02  -4.36 -13.53 -15.15
193904   0.61   0.68  -1.38  -1.05  -2.68   2.75  -0.27   0.97   2.91  -1.85
193905   5.51   7.91   7.55   2.58   8.27   5.56  10.86   5.48   6.46   8.07
193906  -2.10  -6.72  -6.28  -6.09  -8.02  -3.79  -2.65   1.19  -3.53  -7.70
193907   6.21  17.51  12.82   3.09  14.09   6.50   9.00   3.05  12.64  11.55
193908  -7.31  -6.91  -6.67  -3.82  -8.00  -4.18  -6.59  -5.38  -6.06  -9.93
193909   4.81  23.61  26.86  26.08  12.35   2.35   0.03   7.03   3.60  25.76
193910   3.24  -1.36  -2.67  -3.85  -0.97   3.06   6.17   0.19   2.16  -1.63
193911  -0.50  -2.87  -5.88  -6.45  -2.58   0.98  -2.63   1.22  -1.43  -4.99
193912   3.17   3.85   3.95  -0.05   3.73   2.87   4.11   3.80   2.96   2.33
194001   1.69  -3.89  -4.61  -2.08  -4.27  -0.11  -0.98  -1.82  -0.02  -2.66
194002   0.91   2.06   2.72   0.89  -0.64   1.04   1.15   1.50  -1.24   0.85
194003   1.59   3.77   1.53   1.60   3.12   1.16   3.57   1.89   1.70   2.64
194004   1.81  -0.54   0.78   0.07  -1.40   0.33   0.38  -0.31  -1.36  -0.81
194005 -20.85 -26.04 -22.16 -24.16 -20.74 -14.13 -23.45 -21.25 -19.86 -23.87
194006   5.31   8.68   4.31   5.32   3.03   8.72   8.11   4.94  17.42   8.55
194007  -0.07   5.91   4.28   3.21   5.00   1.97   4.72  -0.53   0.11   3.42
194008   1.32   7.38   2.48   1.36   3.27  -0.36   2.45  -2.29  -1.02   2.88
194009   2.52   3.16   4.17  -2.11   4.15   1.66   3.03   4.65  -2.16   2.49
194010  -1.51   3.93   3.99   6.21   2.42   1.61   0.39  -3.05   3.93   5.21
194011  -0.91  -0.60  -1.50   0.78  -2.75   0.61  -1.80  -1.83 -13.06  -0.16
194012   0.58  -3.32   1.19   2.48  -0.08   2.05   0.54  -0.22   1.75   0.26
194101  -0.46  -9.22  -7.01  -2.12  -2.59  -2.10  -3.37  -2.21  -2.10  -1.58
194102  -2.50   1.32  -2.05  -0.69  -0.38  -2.23  -4.00  -4.72  -1.16  -0.32
194103   0.63  -1.74   0.81   3.34   0.33   1.77   1.37   1.76  -3.26   1.90
194104  -4.14 -10.62  -5.71   1.47  -8.88  -6.35  -4.27  -5.27  -9.51  -4.40
194105  -1.32   0.43   3.71   5.49  -0.44   0.40   2.73  -1.48  -4.58  -0.93
194106   6.22   3.90   6.49   5.34  10.75   5.04   5.30   6.76   4.06   4.52
194107   5.59   3.84   7.05  11.26   1.73  -0.39   4.99   8.01   5.32   7.37
194108   0.81   2.45  -0.65  -3.25   0.79   1.06   2.70   0.07  -2.16   0.12
194109   1.87   4.22  -2.91  -0.90  -0.78   0.25   0.25  -0.21  -2.68  -2.58
194110  -7.02  -8.01  -6.39   2.62 -10.26  -2.72  -4.95  -3.70  -9.56  -4.11
194111  -3.06  -3.61  -1.39   3.16  -2.10  -4.03  -3.32  -2.94  -6.56  -1.64
194112  -4.07 -11.79   0.87 -11.00   0.67  -8.59  -8.58  -1.49  -7.44  -5.50
194201   2.43   6.17  -2.28  -1.54   0.95  -1.37  -0.91  -3.13   3.93   9.43
194202  -5.55   5.21  -2.46  -5.75  -2.51  -0.58  -2.21  -5.41  -2.45  -1.92
194203  -8.29   1.40  -5.60  -7.95  -6.35  -6.92  -8.24  -5.65 -12.12  -9.01
194204  -4.03  -4.37  -4.53  -3.43  -3.57  -7.32  -5.29  -4.47  -3.32  -2.00
194205   8.80  10.04   1.76   6.65   7.86   7.72  11.73  14.80   8.52   3.45
194206   3.61   1.77   3.56   4.30   4.51  -2.23   2.32   2.85   1.77   1.93
194207   2.37   2.00   2.75   5.92   1.84   4.45   4.28   1.51  -0.48   6.58
194208   0.87   2.31   1.30   3.40   0.72   2.34   2.44   2.22   0.79   2.41
194209  -0.11   2.56   3.23   2.52   5.19   2.07  -0.11   0.25   5.83   3.31
194210   4.38   5.78   6.68   9.45   6.22   6.13   0.71   4.05  15.00   8.63
194211   2.76  -0.08  -2.28   0.98   2.01   2.71   6.44   1.57  -1.12  -1.96
194212   4.62   8.20   5.27   7.47   6.04   0.35   2.26   8.80   4.28   4.30
194301   9.07   5.18   6.89   6.30   9.90   3.73   7.45   2.25  14.65   7.21
194302   3.55   7.45   5.15   7.84   3.40   8.75   3.13   3.79   7.80   9.52
194303   4.35   4.95   5.90   7.41   7.45   0.60   8.84   4.40   4.62   9.93
194304   0.90   0.55  -1.49   0.73   1.20   4.13   1.76   1.25   4.03   2.22
194305   6.55   6.43   5.34   5.91   6.21   4.53   7.38   5.02   4.37   5.52
194306   1.99   4.83   0.87   1.13   2.35   2.49   4.51   0.48   4.26  -0.80
194307  -1.71  -9.62  -6.70  -2.96  -7.32  -0.10  -2.35  -3.08  -0.41  -5.09
194308   0.94   3.45   0.66   1.01   0.41   0.82   3.15   0.29   1.18   1.37
194309   2.20   1.73   2.68   1.39   5.24   1.49   2.78   3.94   3.77   2.22
194310  -0.22  -1.11  -0.85  -2.03  -3.38   0.71  -3.30   0.50   0.57  -1.10
194311  -4.45  -5.22  -6.31  -6.78  -6.45  -1.74  -4.19  -3.98  -8.27  -7.85
194312   6.00   7.79   5.81   7.53   8.03   3.18   6.01   3.76   7.36   7.17
194401   3.94   0.96   1.91   0.60   0.51   0.89   1.63   0.33  -0.29   4.46
194402  -0.54   3.74  -0.38   0.08  -2.10   0.86   1.30  -2.60   1.56   2.08
194403   2.83   4.79   2.23   1.87   3.75   0.70   2.07   2.48   1.71   2.66
194404  -1.92  -1.15  -2.00  -1.36  -1.94  -0.57  -1.33  -2.33  -0.92  -2.38
194405   5.30   7.84   5.51   5.00   3.61   2.80   5.52   5.65   2.77   4.29
194406   5.46   9.15   7.03   0.52   7.43   3.25   6.16   3.89   4.94   5.86
194407  -0.38  -4.91  -1.95  -1.21  -1.84  -0.37  -0.24  -1.32   0.30  -0.82
194408   2.48   3.94   2.17  -1.95   1.89   0.65   3.77   0.84   3.58   0.40
194409  -0.16   0.60   0.51  -1.37  -0.63   0.25   1.29   0.36  -1.49   0.13
194410   0.05  -2.74  -0.34   1.87   0.88   0.77   0.47   1.19   1.49   0.69
194411   1.21   2.22   0.85   2.61   1.54   0.69   2.56   0.39  -0.29   4.33
194412   2.04   3.99   4.17   5.12   4.65   0.73   2.95   1.65   3.08   8.41
194501   2.57   1.26   2.79   4.89   0.57  -2.03  -0.97   0.39   5.74   0.60
194502   3.94   7.60   6.85   7.29   6.64   2.87   4.72   4.39   6.13   7.86
194503  -2.99  -6.03  -4.74  -5.23  -3.80  -0.15  -1.29  -1.85  -3.08  -3.58
